agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
2350,8:07:45,F19B1012,NU0253,ND0021,72,ND0020,72
3002,8:07:47,61221202,NF0177,ND0004,72,ND0010,72
3457,8:07:47,A1265022,NU0100,ND0017,72,ND0022,72
1256,8:07:50,B2421202,NU0190,ND0022,72,ND0024,72
3333,8:07:52,B2222202,NU0091,ND0021,72,ND0008,72
560,8:07:55,72223201,NU0253,ND0002,0,None,0
1229,8:07:56,622F1102,NU0190,ND0018,72,ND0007,72
1165,8:07:57,51321202,NU0190,ND0008,72,ND0021,72
3038,8:08:00,21741202,NF0177,ND0007,72,ND0014,72
2300,8:08:06,C21D1202,NU0253,ND0003,72,ND0025,72
1198,8:08:07,52426202,NU0190,ND0025,72,ND0016,72
2434,8:08:09,81131202,NU0253,ND0011,72,ND0017,72
1122,8:08:12,51465022,NU0190,ND0003,72,ND0022,72
1209,8:08:15,61221202,NU0190,ND0013,72,ND0010,72
1846,8:08:15,91222202,NF0159,ND0012,72,ND0009,72
1216,8:08:23,62228202,NU0190,ND0025,72,ND0008,72
1246,8:08:24,52221202,NU0190,ND0010,72,ND0013,72
2315,8:08:24,A12F1102,NU0253,ND0017,72,ND0021,72
1832,8:08:27,91221202,NF0159,ND0026,72,ND0021,72
2480,8:08:27,61221202,NU0253,ND0014,72,ND0011,72
1871,8:08:28,C1522202,NF0159,ND0013,72,ND0018,72
2515,8:08:31,72322202,NU0253,ND0009,72,ND0018,72
895,8:08:33,B1121201,NF0177,ND0017,0,None,0
3530,8:08:39,92228202,NF0179,ND0024,72,ND0012,72
2443,8:08:40,61222202,NU0253,ND0025,72,ND0007,72
86,8:08:43,72221201,NU0190,ND0019,0,None,0
36,8:08:45,71221201,NU0190,ND0014,0,None,0
3323,8:08:50,51221202,NU0091,ND0022,72,ND0021,72
999,8:08:51,22A61021,NU0091,ND0009,0,None,0
733,8:08:53,82222201,NU0253,ND0025,0,None,0
3561,8:08:54,81161022,NF0077,ND0005,72,ND0025,72
1262,8:08:55,A1221202,NU0190,ND0025,72,ND0002,72
888,8:08:58,91221201,NF0177,ND0009,0,None,0
2991,8:08:58,71222202,NF0177,ND0020,72,ND0010,72
3557,8:09:01,51221202,NF0077,ND0007,72,ND0003,72
3057,8:09:05,71121202,NF0177,ND0007,72,ND0004,72
84,8:09:11,62221201,NU0190,ND0019,0,None,0
2498,8:09:13,92421202,NU0253,ND0014,72,ND0014,72
3441,8:09:16,92222202,NU0100,ND0027,72,ND0013,72
2405,8:09:17,A1222202,NU0253,ND0024,72,ND0027,72
3460,8:09:23,72221202,NU0100,ND0015,72,ND0003,72
934,8:09:38,81221201,NF0177,ND0025,0,None,0
2353,8:09:50,71222202,NU0253,ND0004,72,ND0014,72
1156,8:09:51,A1321202,NU0190,ND0021,72,ND0013,72
1112,8:09:53,41741202,NU0190,ND0013,72,ND0007,72
636,8:09:54,62221201,NU0253,ND0019,0,None,0
131,8:10:00,62222201,NU0190,ND0020,0,None,0
894,8:10:00,92961021,NF0177,ND0015,0,None,0
575,8:10:05,62421201,NU0253,ND0008,0,None,0
1837,8:10:07,611D1202,NF0159,ND0024,72,ND0007,72
1921,8:10:10,A1221202,NF0159,ND0001,72,ND0016,72
1310,8:10:11,82322202,NU0190,ND0025,72,ND0022,72
2449,8:10:11,72221202,NU0253,ND0025,72,ND0018,72
1828,8:10:22,61321202,NF0159,ND0020,72,ND0008,72
3086,8:10:22,C2121202,NF0177,ND0020,72,ND0025,72
1264,8:10:25,82261022,NU0190,ND0015,72,ND0003,72
2407,8:10:25,B2221202,NU0253,ND0004,72,ND0013,72
2473,8:10:26,C2421202,NU0253,ND0009,72,ND0013,72
1927,8:10:31,82221202,NF0159,ND0017,72,ND0022,72
1836,8:10:39,71221202,NF0159,ND0020,72,ND0012,72
1808,8:10:40,C1521202,NF0159,ND0002,72,ND0013,72
1838,8:10:43,82221202,NF0159,ND0007,72,ND0007,72
2391,8:10:47,A1221202,NU0253,ND0011,72,ND0002,72
3073,8:10:58,D1322202,NF0177,ND0004,72,ND0007,72
3053,8:11:03,71222202,NF0177,ND0003,72,ND0013,72
2356,8:11:07,522F3102,NU0253,ND0003,72,ND0024,72
2360,8:11:09,42221202,NU0253,ND0011,72,ND0025,72
1215,8:11:13,81221202,NU0190,ND0021,72,ND0004,72
1926,8:11:14,71321202,NF0159,ND0020,72,ND0025,72
604,8:11:26,52421201,NU0253,ND0015,0,None,0
1094,8:11:26,61121202,NU0190,ND0001,72,ND0021,72
428,8:11:27,51222201,NF0159,ND0023,0,None,0
3060,8:11:28,61221202,NF0177,ND0012,72,ND0008,72
1288,8:11:44,G19B1012,NU0190,ND0013,72,ND0012,72
1185,8:11:47,71221202,NU0190,ND0013,72,ND0004,72
1916,8:11:47,612B1012,NF0159,ND0004,72,ND0022,72
1032,8:11:50,A2221201,NF0077,ND0027,0,None,0
1831,8:11:50,C1961022,NF0159,ND0018,72,ND0010,72
2514,8:11:50,61221202,NU0253,ND0027,72,ND0026,72
904,8:11:56,72222201,NF0177,ND0019,0,None,0
3005,8:11:57,A1221202,NF0177,ND0018,72,ND0022,72
2999,8:12:02,41741202,NF0177,ND0005,72,ND0020,72
1291,8:12:05,71261022,NU0190,ND0011,72,ND0021,72
3329,8:12:10,81221202,NU0091,ND0021,72,ND0026,72
634,8:12:11,612F1101,NU0253,ND0019,0,None,0
2342,8:12:16,42261022,NU0253,ND0010,72,ND0009,72
1110,8:12:17,B2261022,NU0190,ND0012,72,ND0011,72
3033,8:12:17,719B1012,NF0177,ND0011,72,ND0013,72
3298,8:12:19,62221202,NU0091,ND0010,72,ND0002,72
1248,8:12:23,62221202,NU0190,ND0008,72,ND0013,72
1193,8:12:26,91221202,NU0190,ND0025,72,ND0001,72
3531,8:12:30,72221202,NF0179,ND0016,72,ND0022,72
734,8:12:33,81265021,NU0253,ND0025,0,None,0
3065,8:12:33,712B1012,NF0177,ND0017,72,ND0005,72
1295,8:12:41,52321202,NU0190,ND0004,72,ND0022,72
3080,8:12:41,91221202,NF0177,ND0013,72,ND0015,72
498,8:12:44,C1521201,NF0159,ND0027,0,None,0
3533,8:12:45,62222202,NF0179,ND0004,72,ND0014,72
490,8:12:49,92221201,NF0159,ND0027,0,None,0
3305,8:12:54,52222202,NU0091,ND0017,72,ND0020,72
1792,8:13:00,71221202,NF0159,ND0025,72,ND0001,72
3018,8:13:01,82621202,NF0177,ND0009,72,ND0024,72
1780,8:13:02,A28B1012,NF0159,ND0010,72,ND0003,72
2433,8:13:04,81222202,NU0253,ND0005,72,ND0007,72
1009,8:13:08,72222201,NU0091,ND0025,0,None,0
3069,8:13:08,51321202,NF0177,ND0025,72,ND0012,72
2338,8:13:16,92224202,NU0253,ND0010,72,ND0012,72
1922,8:13:23,C1222202,NF0159,ND0005,72,ND0016,72
1901,8:13:29,B2221202,NF0159,ND0025,72,ND0001,72
1211,8:13:33,62421202,NU0190,ND0005,72,ND0013,72
134,8:13:37,A1422201,NU0190,ND0021,0,None,0
1300,8:13:37,91221202,NU0190,ND0001,72,ND0027,72
3307,8:13:40,62221202,NU0091,ND0002,72,ND0001,72
3297,8:13:43,61221202,NU0091,ND0012,72,ND0012,72
3321,8:13:44,F2961022,NU0091,ND0005,72,ND0005,72
389,8:13:48,D1222201,NF0159,ND0019,0,None,0
2308,8:13:48,62222202,NU0253,ND0011,72,ND0008,72
2435,8:13:55,91221202,NU0253,ND0022,72,ND0001,72
830,8:13:57,81221201,NU0253,ND0027,0,None,0
1242,8:13:57,72321202,NU0190,ND0024,72,ND0022,72
1169,8:14:00,91222202,NU0190,ND0003,72,ND0013,72
1234,8:14:01,52222202,NU0190,ND0007,72,ND0008,72
233,8:14:07,81222201,NU0190,ND0027,0,None,0
1804,8:14:15,62422202,NF0159,ND0002,72,ND0012,72
2446,8:14:23,A1322202,NU0253,ND0016,72,ND0027,72
3036,8:14:24,32748202,NF0177,ND0017,72,ND0022,72
1835,8:14:25,91222202,NF0159,ND0005,72,ND0008,72
1204,8:14:27,71221202,NU0190,ND0015,72,ND0013,72
1283,8:14:27,51222202,NU0190,ND0017,72,ND0005,72
2335,8:14:30,81221202,NU0253,ND0007,72,ND0020,72
1174,8:14:31,32227202,NU0190,ND0013,72,ND0024,72
3072,8:14:32,71221202,NF0177,ND0001,72,ND0007,72
1201,8:14:37,C1121202,NU0190,ND0027,72,ND0002,72
1890,8:14:39,61222202,NF0159,ND0016,72,ND0003,72
923,8:14:46,71221201,NF0177,ND0023,0,None,0
3003,8:14:54,D1967022,NF0177,ND0021,72,ND0003,72
82,8:14:57,B2861021,NU0190,ND0019,0,None,0
3569,8:14:59,92221202,NF0077,ND0007,72,ND0016,72
2512,8:15:07,91221202,NU0253,ND0007,72,ND0022,72
1157,8:15:09,42221202,NU0190,ND0021,72,ND0003,72
1278,8:15:15,51221202,NU0190,ND0026,72,ND0014,72
2488,8:15:16,51221202,NU0253,ND0014,72,ND0027,72
3064,8:15:19,81228202,NF0177,ND0005,72,ND0015,72
1842,8:15:23,C1621202,NF0159,ND0009,72,ND0014,72
1217,8:15:24,A1221202,NU0190,ND0022,72,ND0011,72
240,8:15:25,91222201,NU0190,ND0027,0,None,0
1142,8:15:26,72222202,NU0190,ND0016,72,ND0002,72
1176,8:15:33,A1221202,NU0190,ND0026,72,ND0009,72
2343,8:15:33,71222202,NU0253,ND0001,72,ND0013,72
1196,8:15:35,B2328202,NU0190,ND0007,72,ND0007,72
2298,8:15:35,71221202,NU0253,ND0024,72,ND0025,72
3294,8:15:38,51221202,NU0091,ND0004,72,ND0016,72
1284,8:15:40,F1957322,NU0190,ND0025,72,ND0004,72
443,8:15:42,72322201,NF0159,ND0025,0,None,0
1806,8:15:44,C1321202,NF0159,ND0004,72,ND0007,72
2505,8:15:45,72221202,NU0253,ND0002,72,ND0025,72
2305,8:15:48,A21B1012,NU0253,ND0009,72,ND0026,72
1270,8:16:03,81221202,NU0190,ND0017,72,ND0010,72
2479,8:16:07,A2221202,NU0253,ND0014,72,ND0015,72
2481,8:16:10,82328202,NU0253,ND0015,72,ND0015,72
2490,8:16:11,81221202,NU0253,ND0026,72,ND0016,72
2996,8:16:13,A2221202,NF0177,ND0020,72,ND0014,72
3429,8:16:13,52322202,NU0100,ND0005,72,ND0022,72
1277,8:16:16,81221202,NU0190,ND0018,72,ND0020,72
1182,8:16:19,B1221202,NU0190,ND0027,72,ND0025,72
3574,8:16:19,61221202,NF0077,ND0008,72,ND0003,72
1289,8:16:21,71221202,NU0190,ND0011,72,ND0024,72
46,8:16:23,51321201,NU0190,ND0016,0,None,0
694,8:16:28,71221201,NU0253,ND0022,0,None,0
1203,8:16:34,91228202,NU0190,ND0003,72,ND0022,72
3572,8:16:34,91222202,NF0077,ND0007,72,ND0012,72
362,8:16:37,91221201,NF0159,ND0015,0,None,0
1800,8:16:37,52222202,NF0159,ND0014,72,ND0025,72
2312,8:16:42,81221202,NU0253,ND0007,72,ND0015,72
1250,8:16:44,72321202,NU0190,ND0003,72,ND0017,72
1821,8:16:47,51222202,NF0159,ND0009,72,ND0004,72
771,8:16:48,I2862021,ND0025,NU0253,0,None,0
2527,8:16:56,82221202,NU0253,ND0009,72,ND0011,72
11,8:17:07,51221201,NU0190,ND0003,0,None,0
587,8:17:17,F29B1011,NU0253,ND0011,0,None,0
1933,8:17:17,A1222202,NF0159,ND0021,72,ND0017,72
1140,8:17:24,C1221202,NU0190,ND0025,72,ND0001,72
2340,8:17:32,A1261022,NU0253,ND0020,72,ND0007,72
703,8:17:40,52221201,NU0253,ND0023,0,None,0
2369,8:17:40,72221202,NU0253,ND0002,72,ND0017,72
387,8:17:47,622K1201,NF0159,ND0019,0,None,0
1887,8:17:49,A1321202,NF0159,ND0003,72,ND0024,72
1261,8:17:50,92222202,NU0190,ND0012,72,ND0012,72
3565,8:17:51,A2961022,NF0077,ND0021,72,ND0017,72
3432,8:17:52,D1521202,NU0100,ND0024,72,ND0005,72
1253,8:17:59,41741202,NU0190,ND0002,72,ND0010,72
1292,8:18:01,51131202,NU0190,ND0015,72,ND0025,72
1303,8:18:01,51222202,NU0190,ND0026,72,ND0012,72
2370,8:18:12,61965022,NU0253,ND0025,72,ND0018,72
1274,8:18:16,72221202,NU0190,ND0021,72,ND0002,72
724,8:18:21,C21D1201,NU0253,ND0025,0,None,0
1116,8:18:21,71222202,NU0190,ND0007,72,ND0020,72
2459,8:18:22,92223202,NU0253,ND0014,72,ND0011,72
1206,8:18:23,51221202,NU0190,ND0010,72,ND0007,72
2444,8:18:26,81221202,NU0253,ND0015,72,ND0027,72
2453,8:18:40,D1522202,NU0253,ND0005,72,ND0027,72
87,8:18:51,52221201,NU0190,ND0019,0,None,0
1917,8:18:52,A1221202,NF0159,ND0024,72,ND0014,72
995,8:19:00,812F1101,NU0091,ND0008,0,None,0
2327,8:19:01,51421202,NU0253,ND0012,72,ND0014,72
3058,8:19:04,A1222202,NF0177,ND0014,72,ND0012,72
3568,8:19:05,82321202,NF0077,ND0005,72,ND0027,72
1251,8:19:07,81221202,NU0190,ND0012,72,ND0002,72
33,8:19:11,62221201,NU0190,ND0012,0,None,0
1171,8:19:12,42322202,NU0190,ND0005,72,ND0016,72
1811,8:19:12,A1221202,NF0159,ND0018,72,ND0018,72
2503,8:19:13,62221202,NU0253,ND0008,72,ND0009,72
2522,8:19:17,91321202,NU0253,ND0016,72,ND0007,72
141,8:19:19,91257321,NU0190,ND0024,0,None,0
1091,8:19:23,92371212,NU0190,ND0015,72,ND0017,72
1782,8:19:23,72222202,NF0159,ND0027,72,ND0020,72
223,8:19:28,B1231201,NU0190,ND0026,0,None,0
2458,8:19:31,81121202,NU0253,ND0018,72,ND0003,72
3302,8:19:31,71221202,NU0091,ND0011,72,ND0016,72
1133,8:19:44,82223202,NU0190,ND0026,72,ND0027,72
1239,8:19:45,51222202,NU0190,ND0021,72,ND0010,72
2306,8:19:45,D2862022,NU0253,ND0012,72,ND0004,72
444,8:19:52,82265021,NF0159,ND0025,0,None,0
3055,8:19:53,71221202,NF0177,ND0024,72,ND0005,72
2506,8:19:55,71221202,NU0253,ND0013,72,ND0026,72
28,8:20:05,C1422201,NU0190,ND0011,0,None,0
2432,8:20:08,51221202,NU0253,ND0004,72,ND0009,72
3331,8:20:14,81222202,NU0091,ND0002,72,ND0016,72
1786,8:20:19,F1962022,NF0159,ND0022,72,ND0017,72
64,8:20:22,72322201,NU0190,ND0018,0,None,0
368,8:20:24,71221201,NF0159,ND0017,0,None,0
3451,8:20:24,81121202,NU0100,ND0003,72,ND0016,72
2520,8:20:27,B1222202,NU0253,ND0027,72,ND0012,72
27,8:20:28,92321201,NU0190,ND0011,0,None,0
166,8:20:30,71221201,NU0190,ND0025,0,None,0
2361,8:20:33,92461022,NU0253,ND0011,72,ND0015,72
3062,8:20:35,71221202,NF0177,ND0015,72,ND0018,72
366,8:20:37,41741201,NF0159,ND0017,0,None,0
3029,8:20:38,51222202,NF0177,ND0017,72,ND0018,72
825,8:20:45,51222201,NU0253,ND0027,0,None,0
1841,8:20:51,62221202,NF0159,ND0020,72,ND0012,72
1830,8:20:52,81221202,NF0159,ND0001,72,ND0015,72
2491,8:20:52,52421202,NU0253,ND0003,72,ND0002,72
251,8:20:54,512B1011,NU0190,ND0027,0,None,0
1306,8:21:03,C1228202,NU0190,ND0005,72,ND0013,72
1312,8:21:03,82421202,NU0190,ND0014,72,ND0012,72
2425,8:21:05,81221202,NU0253,ND0016,72,ND0015,72
3427,8:21:05,71221202,NU0100,ND0027,72,ND0017,72
3443,8:21:05,52231202,NU0100,ND0010,72,ND0005,72
2406,8:21:06,51321202,NU0253,ND0005,72,ND0018,72
80,8:21:10,A1221201,NU0190,ND0019,0,None,0
2417,8:21:11,A1221202,NU0253,ND0013,72,ND0018,72
1213,8:21:13,A1221202,NU0190,ND0003,72,ND0012,72
1260,8:21:14,81222202,NU0190,ND0025,72,ND0001,72
3586,8:21:20,51222202,NF0077,ND0012,72,ND0003,72
3576,8:21:26,522F1102,NF0077,ND0027,72,ND0005,72
2460,8:21:29,41228202,NU0253,ND0002,72,ND0007,72
2299,8:21:39,92421202,NU0253,ND0020,72,ND0007,72
3454,8:21:39,62261022,NU0100,ND0027,72,ND0012,72
3448,8:21:51,71221202,NU0100,ND0005,72,ND0007,72
1222,8:21:57,A2231202,NU0190,ND0025,72,ND0010,72
2989,8:22:01,52221202,NF0177,ND0013,72,ND0018,72
1210,8:22:04,82222202,NU0190,ND0022,72,ND0002,72
2508,8:22:08,91221202,NU0253,ND0008,72,ND0005,72
1194,8:22:09,82221202,NU0190,ND0012,72,ND0024,72
3563,8:22:15,C2221202,NF0077,ND0025,72,ND0001,72
2371,8:22:21,51222202,NU0253,ND0007,72,ND0003,72
887,8:22:22,A2221201,NF0177,ND0002,0,None,0
1833,8:22:25,A1221202,NF0159,ND0024,72,ND0016,72
3528,8:22:30,A1221202,NF0179,ND0024,72,ND0004,72
153,8:22:37,82421201,NU0190,ND0025,0,None,0
1152,8:22:38,52221202,NU0190,ND0002,72,ND0015,72
2355,8:22:42,41221202,NU0253,ND0016,72,ND0002,72
1864,8:22:45,A1221202,NF0159,ND0018,72,ND0022,72
242,8:22:58,71221201,NU0190,ND0027,0,None,0
584,8:22:59,D1321201,NU0253,ND0010,0,None,0
1148,8:22:59,52223202,NU0190,ND0001,72,ND0001,72
3012,8:22:59,52222202,NF0177,ND0018,72,ND0013,72
1859,8:23:02,72255322,NF0159,ND0004,72,ND0024,72
1108,8:23:12,71621202,NU0190,ND0022,72,ND0020,72
1272,8:23:22,72222202,NU0190,ND0020,72,ND0016,72
7,8:23:23,61228201,NU0190,ND0002,0,None,0
723,8:23:23,D1967021,NU0253,ND0025,0,None,0
1129,8:23:29,61265022,NU0190,ND0003,72,ND0017,72
2339,8:23:36,32221202,NU0253,ND0009,72,ND0003,72
2398,8:23:38,62122202,NU0253,ND0004,72,ND0015,72
154,8:23:40,92221201,NU0190,ND0025,0,None,0
1849,8:23:41,A1321202,NF0159,ND0020,72,ND0011,72
2313,8:23:44,A1231202,NU0253,ND0015,72,ND0005,72
1230,8:23:50,A2421202,NU0190,ND0021,72,ND0022,72
623,8:23:52,G1321201,NU0253,ND0018,0,None,0
3529,8:23:55,F1961022,NF0179,ND0010,72,ND0002,72
1104,8:24:05,91227202,NU0190,ND0012,72,ND0015,72
1188,8:24:05,B2223202,NU0190,ND0020,72,ND0001,72
1027,8:24:09,62222201,NF0077,ND0019,0,None,0
1254,8:24:13,B1221202,NU0190,ND0015,72,ND0025,72
1843,8:24:14,21741202,NF0159,ND0010,72,ND0026,72
2463,8:24:16,B1221202,NU0253,ND0027,72,ND0025,72
3326,8:24:23,71121202,NU0091,ND0005,72,ND0018,72
